country,max_avg,min_avg,seasonality_index
EU27_2020,69463.89333333333,53496.793650793654,15967.099682539672
IT,9855.035897435897,7347.175757575757,2507.8601398601395
DE,12580.784722222223,10554.346405228758,2026.4383169934645
FR,8719.983333333334,6915.416666666667,1804.5666666666666
ES,6147.393939393939,4418.510638297872,1728.883301096067
PL,5499.840277777777,4535.427536231884,964.4127415458934
RO,3971.1,3088.2291666666665,882.8708333333334
PT,1719.8909090909092,1191.0666666666666,528.8242424242426
EL,1888.0666666666666,1434.8039215686274,453.2627450980392
NL,2236.0,1810.1041666666667,425.89583333333326
BG,1666.0055555555555,1247.1045751633987,418.9009803921567
RS,1527.9818181818182,1179.2121212121212,348.76969696969695
HU,1867.3541666666667,1521.3125,346.04166666666674
BE,1563.7797101449275,1238.3469387755101,325.4327713694174
CZ,1603.517543859649,1302.8245614035088,300.69298245614027
SE,1297.616,1056.08,241.53600000000006
AT,1134.7944444444445,935.8125,198.98194444444448
GE,708.8,524.5333333333333,184.26666666666665
AM,486.0238095238095,305.7111111111111,180.3126984126984
CH,920.12,745.2833333333333,174.8366666666667
HR,760.2777777777778,609.25,151.02777777777783
SK,769.7888888888889,637.9930555555555,131.79583333333335
IE,484.35555555555555,359.4074074074074,124.94814814814816
DK,758.0533333333333,636.1555555555556,121.89777777777772
LT,590.8909090909091,476.9848484848485,113.90606060606058
NO,601.7272727272727,493.7348484848485,107.99242424242425
AL,354.6222222222222,252.07692307692307,102.54529914529914
FI,725.8293333333334,623.7466666666667,102.08266666666668
LV,436.4909090909091,343.1439393939394,93.34696969696972
SI,284.4579710144927,226.57246376811594,57.88550724637679
EE,235.9777777777778,192.05555555555554,43.922222222222246
CY,100.9037037037037,70.07407407407408,30.829629629629622
ME,94.11111111111111,74.60185185185185,19.509259259259267
MT,59.333333333333336,40.339393939393936,18.9939393939394
LU,56.46111111111111,46.673202614379086,9.787908496732022
IS,27.926666666666666,23.673333333333332,4.253333333333334
AD,4.56,3.3,1.2599999999999998
LI,3.5490909090909093,2.760869565217391,0.7882213438735182
UK,,,
